case,instance_id,status,gt_id,ostium_err_mm,ostium_x,ostium_y,ostium_z,radius_mm,path_length_mm,vesselness,mean_hu,radius_cv,mean_circularity,crop_path,verdict
subject025,branch_006,extra,,,10.15,-167.85,-57.85,2.746,13.91,0.0283,523.8,0.1868,0.7321,review/crops/subject025_branch_006.png,
subject025,branch_007,extra,,,25.15,-116.85,-79.6,4.246,13.91,0.0599,431.1,0.4828,0.8614,review/crops/subject025_branch_007.png,
subject025,branch_008,extra,,,20.09,-162.47,-80.83,2.0881,13.91,0.0229,493.8,0.3061,0.6721,review/crops/subject025_branch_008.png,
subject025,branch_009,extra,,,11.57,-185.35,-88.77,1.4829,12.09,0.5882,345.4,0.1703,0.6572,review/crops/subject025_branch_009.png,
subject025,branch_010,extra,,,-3.2,-173.99,-99.6,2.9172,13.91,0.0266,454.2,0.3367,0.7114,review/crops/subject025_branch_010.png,
subject025,branch_011,extra,,,8.65,-109.35,-114.1,2.3613,13.91,0.0963,398.9,0.2212,0.5815,review/crops/subject025_branch_011.png,
subject025,branch_012,extra,,,3.8,-145.82,-188.05,1.8288,13.91,0.5876,450.6,0.4051,0.7058,review/crops/subject025_branch_012.png,
subject025,branch_013,extra,,,-0.48,-152.64,-209.04,3.3828,13.91,0.5909,461.7,0.3346,0.6958,review/crops/subject025_branch_013.png,
subject025,branch_014,extra,,,2.21,-141.68,-228.32,1.9468,13.91,0.4764,431.6,0.2063,0.7696,review/crops/subject025_branch_014.png,
subject025,branch_015,extra,,,-15.73,-144.91,-231.44,2.4956,13.91,0.4822,462.0,0.4153,0.745,review/crops/subject025_branch_015.png,
subject025,branch_016,extra,,,-16.1,-140.85,-262.6,2.0542,13.91,0.126,393.3,0.6331,0.5992,review/crops/subject025_branch_016.png,
subject025,branch_017,extra,,,-15.35,-140.85,-273.1,1.6223,3.35,0.2569,390.8,0.3391,0.5829,review/crops/subject025_branch_017.png,
subject025,branch_018,extra,,,-4.85,-160.35,-285.1,1.6223,4.72,0.058,381.5,0.3485,0.4287,review/crops/subject025_branch_018.png,
subject025,branch_019,extra,,,-1.85,-151.03,-299.71,1.2682,12.04,0.2655,363.2,0.3678,0.6045,review/crops/subject025_branch_019.png,
subject025,branch_020,extra,,,4.15,-161.85,-308.35,1.4517,3.67,0.5121,376.2,0.4287,0.4709,review/crops/subject025_branch_020.png,
subject025,branch_021,extra,,,-2.03,-152.53,-322.6,1.5694,13.91,0.5256,397.7,0.4157,0.5537,review/crops/subject025_branch_021.png,
